CD_MUN,NM_MUN,UF,year,pr,ETo,Tmax,Tmin,RH,VPD,u2,Rs
1100023,Ariquemes,RO,2001,2275.01,1148.35,31.42,21.49,85.84,0.49,0.38,5572.08
1100023,Ariquemes,RO,2002,1913.66,1245.65,32.03,22.01,83.97,0.58,0.43,6018.36
1100023,Ariquemes,RO,2003,1965.24,1232.13,32.12,21.75,82.98,0.61,0.48,5914.37
1100023,Ariquemes,RO,2004,1850.72,1198.1,31.92,21.78,82.8,0.61,0.56,5687.01
1100023,Ariquemes,RO,2005,1782.07,1238.02,32.47,21.82,81.12,0.68,0.55,5860.8
1100023,Ariquemes,RO,2006,1801.71,1227.89,32.58,21.81,82.45,0.64,0.61,5760.89
1100023,Ariquemes,RO,2007,1793.0,1269.34,32.6,21.13,81.34,0.66,0.73,5966.68
1100023,Ariquemes,RO,2008,2239.52,1290.38,32.07,21.29,80.35,0.7,0.9,5984.53
1100023,Ariquemes,RO,2009,2253.17,1290.58,32.0,21.81,81.05,0.68,0.94,5964.63
1100023,Ariquemes,RO,2010,1601.31,1343.86,32.8,22.05,76.32,0.87,0.95,6039.72
1100023,Ariquemes,RO,2011,1751.29,1328.66,32.01,21.58,78.22,0.78,0.92,6155.65
1100023,Ariquemes,RO,2012,1699.47,1349.34,32.28,21.4,77.97,0.79,0.94,6235.87
1100023,Ariquemes,RO,2013,2462.04,1302.71,31.9,21.71,79.7,0.72,0.96,6007.52
1100023,Ariquemes,RO,2014,2117.62,1318.53,32.26,21.82,79.3,0.75,0.95,6037.99
1100023,Ariquemes,RO,2015,1787.65,1366.89,33.14,21.95,76.78,0.87,0.95,6098.63
1100023,Ariquemes,RO,2016,2034.09,1376.82,32.71,21.91,76.65,0.85,0.98,6238.54
1100023,Ariquemes,RO,2017,1861.75,1286.03,32.55,21.97,77.51,0.82,0.98,5705.44
1100023,Ariquemes,RO,2018,2126.39,1300.67,32.06,21.45,78.36,0.77,1.04,5902.43
1100023,Ariquemes,RO,2019,2304.62,1323.29,32.38,22.27,77.76,0.81,0.87,6058.73
1100023,Ariquemes,RO,2020,1711.9,1323.18,32.49,22.33,76.64,0.86,0.94,5904.26
1100023,Ariquemes,RO,2021,2026.5,1339.46,32.3,22.26,76.96,0.84,0.88,6195.39
1100023,Ariquemes,RO,2022,1848.25,1356.91,32.2,22.0,78.17,0.79,1.06,6219.12
1100023,Ariquemes,RO,2023,2095.64,1379.43,32.99,22.23,78.58,0.81,0.83,6333.0
1100023,Ariquemes,RO,2024,852.34,294.65,32.24,23.65,81.87,0.69,0.91,1310.88
1100072,Corumbiara,RO,2001,1585.99,1282.09,32.16,20.38,78.42,0.74,0.67,6098.0
1100072,Corumbiara,RO,2002,1274.43,1353.74,32.67,20.5,79.21,0.73,0.74,6417.2
1100072,Corumbiara,RO,2003,2011.86,1392.54,32.04,20.21,74.54,0.86,1.18,6196.02
1100072,Corumbiara,RO,2004,1579.11,1363.11,32.07,20.36,75.36,0.85,1.23,5999.92
1100072,Corumbiara,RO,2005,1663.94,1381.89,32.68,20.55,76.22,0.83,1.31,6030.77
1100072,Corumbiara,RO,2006,1884.3,1315.66,32.19,20.6,77.75,0.77,0.97,6087.32
1100072,Corumbiara,RO,2007,1509.66,1409.12,31.99,19.42,75.71,0.8,1.19,6521.04
1100072,Corumbiara,RO,2008,1901.85,1382.2,31.74,19.94,74.51,0.86,1.09,6386.83
1100072,Corumbiara,RO,2009,1896.63,1347.8,31.83,21.45,78.44,0.76,1.05,6200.42
1100072,Corumbiara,RO,2010,1844.25,1346.52,32.4,20.95,73.5,0.93,0.88,6264.51
1100072,Corumbiara,RO,2011,2002.87,1376.93,31.95,21.23,75.06,0.88,0.99,6359.08
1100072,Corumbiara,RO,2012,2028.5,1356.09,32.0,21.15,75.34,0.87,0.95,6306.24
1100072,Corumbiara,RO,2013,2013.55,1340.38,31.53,21.41,77.49,0.78,1.07,6187.38
1100072,Corumbiara,RO,2014,2176.4,1329.53,31.72,21.63,77.47,0.8,1.01,6110.72
1100072,Corumbiara,RO,2015,1721.46,1395.81,32.86,22.11,72.76,1.02,1.01,6103.81
1100072,Corumbiara,RO,2016,1851.48,1364.69,32.33,21.28,73.47,0.95,1.03,6092.6
1100072,Corumbiara,RO,2017,1936.2,1347.8,32.2,21.63,74.3,0.92,1.04,6037.37
1100072,Corumbiara,RO,2018,2218.89,1394.63,31.67,21.23,74.56,0.88,1.18,6312.74
1100072,Corumbiara,RO,2019,1587.39,1395.66,32.62,21.39,73.61,0.95,1.06,6245.35
1100072,Corumbiara,RO,2020,1544.48,1426.47,32.91,21.82,70.82,1.09,1.06,6215.13
1100072,Corumbiara,RO,2021,1715.34,1427.34,32.21,21.68,72.53,0.99,1.23,6249.75
1100072,Corumbiara,RO,2022,1667.22,1445.97,32.23,20.65,72.69,0.95,1.31,6393.32
1100072,Corumbiara,RO,2023,1612.89,1516.7,32.92,21.72,73.49,0.99,1.06,6808.5
1100072,Corumbiara,RO,2024,710.37,336.82,32.54,23.3,80.36,0.75,1.22,1498.12
1100049,Cacoal,RO,2001,2153.37,1188.83,31.46,20.79,82.97,0.58,0.48,5773.62
1100049,Cacoal,RO,2002,1831.89,1280.76,32.1,21.17,82.15,0.63,0.5,6218.8
